id,description
v131,131.  Where were you born?
v132,132.  Where was your father born?
v133,133.  Where was your mother born?
v134,"134. If you were not born in Israel, when did you immigrate to Israel?"
v135,135. How would you define yourself?
v137,137.  Did you attend high school or post high school studies in any religious fr
v138_code,138. Describe in detail your profession or your main job (code)
v139,"139. The average monthly household expenditure in Israel is approximately 15,000"
v140,140.  How many rooms do you have in your home?
v141,141.  How many people live in your household (including soldiers)?
v142,142. What social class do you belong to?
v143_code,143.  What is your religion?
v144,144.  In terms of religion how do you define yourself?
v148,148. Interview language
v149,149. Sector
MIDGAM,
interview_wave2,
resp_id_after,
date_after,
v1_after,1. Did you vote in the last elections?
v2_after,2. What party did you vote for in the last elections?
v3_after,3. When did you make your final decision [to vote for the party he/she voted for
v4_after,"4. To what extent, on Election Day, was it important to you personally that the "
v5_after,5. To what extent were the surveys released a few days before the elections a fa
v6A_after,6A. The elections were a referendum on Netanyahu as Prime Minister.
v6B_after,6B. The elections were mainly about the future of democracy in Israel
v6C_after,6C. The elections indicate that the people have had enough with the media being 
v6D_after,6D. The elections were mainly about how to deal with the security threats around
v6E_after,6E. The elections indicated that ghe people are satisfied with the socio-economi
v6F_after,6F. The elections were about the status of Arab citizens of Israel given the “Ba
v6G_after,6G. The elections indicate that the people want large political parties
v6H_after,6H. The elections indicate that the people want the Right.
v6I_after,6I. The elections were mainly about Netanyahu’s corruption allegations
v6J_after,6J. The elections indicate that the people are loyal to Eretz Israel and support
v7_after,"7. All in all, in your opinion what were the elections about?"
V8A_after_code1,8A. What is Right as you understand it?
V8A_after_code2,8A. What is Right as you understand it?
V8A_after_code3,8A. What is Right as you understand it?
V8B_after_code1,8B. What is Left as you understand it?
V8B_after_code2,8B. What is Left as you understand it?
V8B_after_code3,8B. What is Left as you understand it?
v9_after,9.  And now given the election results - which coalition would you prefer?
v110_after,110. To what extent do you feel the Israeli political system represents you?
v10_after,10. To what extent are you satisfied or dissatisfied with the state of democracy
v11_after,11. To wat extent are you proud to be Israeli?
v12A_code,12A. When you think about the history of the State of Israel and of the people o
v12B_code,12B. When you think about the history of the state of Israel and the Arab-Israel
v13A_code,13A. When you think about the future of the state of Israel and the people of Is
v13B_code,13B. When you think about the future of the state of Israel and the Arab-Israeli
v14A_code,"14A. Who, in your opinion, is the most influential figure in the history of the "
v14B_code,"14B. Who, in your opinion, is the most influential figure in the history of the "
v17_after,17. Interview language
v18_after,18. Sector
w1_arabs_relig,
w2_jews_age,
w3_jews_educ,
traditional,
w4_jews_traditional,
c_resp_id_before,ID
c_date_before,
girsa_c,1. Version
c301,C301. That the Knesset decided to dissolve itself and hold new elections
c302,C302. That Netanyahu did not return the mandate to the president at the end of t
c303,C303. That Lieberman did not join the coalition despite his committing to a righ
c304,C304. That the center and left parties rejected joining a government lead by Net
c305,C305. That the coalition negotiations  focused on Netanyahu’s personal affairs a
c306,C306. Anger
c307,C307. Disgust
c308,C308. Hope
c309,C309. Despair
c104,"C104. If the Knesset elections were held today, which party list would you vote "
c8_Code1,"C8. In your opinion, what is the most important problem that the government has "
c8_Code2,"C8. In your opinion, what is the most important problem that the government has "
c19,"C19. In your opinion, should Israel agree, or not agree, to the establishment of"
c20,"C20. About the structure of economic life in the country, which do you support m"
c21,"C21. In your opinion, should the government of Israel see to it that public life"
c25,"C25. Political leader, who does his/her job successfully, should be allowed to c"
c28,C28. It is possible to achieve equal rights for Arab citizens mainly through the
c29,C29. The Arab parties are doing everything in their power to advance the interes
c31,C31. Is there a party and/or politician in Israel that represent your views?
c34,C34. Is there a political party in Israel which has representatives who are simi
c37,C37. Is there a party and/or politician in Israel that gives you a sense of belo
c40,C40. Does the party and/or politician you voted for use the authority you gave t
c43,C43. Now think about your vote for a certain party in the election. Which of the
c44,"C44. And regarding the Knesset, which of the following is most important to you?"
c49_a,C49_A Likud
c49_b,C49_B Kahol-Lavan
c49_c,C49_C HaAvoda-Gesher
c49_d,C49_D Yamina (HaYamin HaMeuchad)
c49_f,C49_F Hamachane Hademocrati
c49_h,C49_H Yisrael Beitenu
c49_j,C49_J HaReshima HaMeshutefet
c52_a,C52_A Binyamin Netanyahu
c52_b,C52_B Benny Gantz
c52_d,C52_D Amir Peretz
c52_e,C52_E Ayelet Shaked
c52_g,C52_G Nitzan Horowitz
c52_i,C52_I Avigdor Liberman
c52_k,C52_K Ayman Oudeh
c86,C86. Politicians make promises during the campaign that they have no intention o
c87,C87. Most politicians in Israel are not corrupt
c88,"C88. There is too much interference in the  elections, such that the results don"
c89,C89. The electoral system in Israel distorts the voters’ will
c90,"C90. Of the following, what do you think is the biggest threat to the political "
c106,"C106. In your opinion, will the government after the election be based on:"
c107,C107. And which of the following governments would you prefer?
c109,"C109. In general, to what extent do you feel there is a political party and/or p"
c110,"C110. And in general, to what extent do you feel that the Israeli political syst"
c111,C111. There is much talk about left and right in politics. Where would you rank 
c119,"C119. You feel committed to the democratic regime in Israel, even if there are t"
c120,"C120. In order to take care of Israel’s unique problems, there is a need for a s"
c124,C124. People who compromise in politics are actually selling out their principle
c125,C125. The Government
c126,C126. The Knesset
c127,C127. The Supreme Court
c128,C128. Politicians
c97,"C97. In the last week, how many times did content from politicians and political"
c101,C101. Read content from a politician or political party that appeared on your fe
c99,C99. Responded to content that a politician or political party posted
c100,C100. Shared content from a politician or political party
c310,"C310. Thank you for your time. We would very much like to talk to you again, aft"
c146,
c148,C148. Interview language
c149,C149. Sector
d_resp_id_after,
d_date_after,
D1,D1. Did you vote in the last Knesset election?
D2,D2. Which list did you vote for in the last Knesset election?
D4,"D4. On election day, to what extent was it important to you personally that the "
D7,"D7. And when you think about the elections that just took place, what were they "
D9,D9. And now given the election results - which coalition would you prefer?
D17,D17. Interview language
D18,D18. Sector
educ_w,
weights_panel_1,
weights_panel_2,
weights_panel_3,
weights_panel_4,
